Split,Exercise,Target Sets,Target Reps,Working Weight (kg),PR Weight (kg),PR Reps,Est 1RM (kg),Rest (s),Notes
Push A,Incline Dumbbell Press,4,8-10,32.5,35.0,8,44.3,120,30-degree bench angle slow eccentric descent explosive drive
Push A,Flat Barbell Bench Press,4,6-8,82.5,87.5,6,105.0,150,Retract scapulae pause briefly at chest leg drive engaged
Push A,Standing DB Overhead Press,3,8-10,22.5,25.0,8,31.7,90,Braced core full overhead lockout
Push A,Cable Lateral Raise,4,12-15,12.5,15.0,12,21.0,60,Wrist height aligned with elbow 1-sec peak contraction
Push A,Tricep Rope Pushdown,4,10-12,30.0,35.0,10,46.7,60,Flug ropes apart at bottom elbows pinned to ribs
Push A,Overhead Dual-Rope Extension,3,12-15,22.5,25.0,12,35.0,60,Deep stretch behind head for long head
Pull A,Barbell Bent-Over Row,4,6-8,80.0,85.0,6,102.0,120,Hinged at 45 degrees pull to lower sternum
Pull A,Neutral-Grip Lat Pulldown,4,8-10,75.0,80.0,8,101.3,90,Drive elbows downwards into back pockets
Pull A,Chest-Supported T-Bar Row,3,10-12,55.0,60.0,10,80.0,90,Zero lumbar momentum full scapular retraction
Pull A,Face Pulls External Rotation,4,15,25.0,30.0,15,45.0,60,Thumbs facing backwards posture stabilizer
Pull A,Incline DB Bicep Curl,3,10-12,15.0,17.5,10,23.3,60,Elbows held behind torso for stretch
Pull A,Standing Hammer Curls,3,12,17.5,20.0,10,26.7,60,Neutral grip throughout forearm density builder
Legs & Core,Barbell Back Squat,4,6-8,105.0,115.0,6,138.0,180,Break parallel with hip crease explosive hip drive
Legs & Core,Romanian Deadlift (RDL),4,8-10,100.0,110.0,8,139.3,120,Soft knee bend push hips back to wall
Legs & Core,45-Degree Leg Press,3,10-12,220.0,240.0,10,320.0,90,Controlled descent avoid locking knees at apex
Legs & Core,Standing Calf Raise Machine,4,15,85.0,95.0,15,142.5,60,2-sec pause in deep stretch 1-sec peak contraction
Legs & Core,Hanging Leg Knee Raise,4,15,5.0,10.0,12,14.0,60,Curl pelvis upwards without swinging
Legs & Core,Cable Kneeling Crunch,3,15-20,45.0,50.0,15,75.0,60,Round thoracic spine like a snail flex abs hard
Push B,Low-Incline Barbell Bench,4,8-10,75.0,80.0,8,101.3,120,15 to 20 degree incline clavicular recruitment
Push B,Weighted Bodyweight Dips,3,8-10,15.0,20.0,8,25.3,90,Lean torso forward 30 degrees to bias chest
Push B,Incline Cable Flyes,3,12-15,15.0,17.5,12,24.5,60,Constant continuous tension across horizontal axes
Push B,Lean-Away DB Lateral Raise,4,12-15,12.5,15.0,12,21.0,60,Holding pole slight lean removes dead zone
Push B,EZ-Bar Skull Crushers,3,10-12,32.5,37.5,10,50.0,60,Lower bar slightly behind forehead
Push B,EZ-Bar Preacher Curls,3,10-12,35.0,40.0,10,53.3,60,Strict armpit contact with bench peak contraction
